,manage_no,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude
0,가락지하차도-01,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
1,가락지하차도-02,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
2,가락지하차도-03,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
3,가락지하차도-04,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
4,가락지하차도-05,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
5,가락지하차도-06,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
6,가락지하차도-07,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
7,가락지하차도-08,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
8,가락지하차도-09,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
9,가락지하차도-10,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
10,가락지하차도-11,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
11,가락지하차도-12,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
12,가락지하차도-13,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
13,가락지하차도-14,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
14,가락지하차도-15,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
15,가락지하차도-16,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
16,가락지하차도-17,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
17,가락지하차도-18,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
18,가락지하차도-19,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
19,가락지하차도-20,서울 송파구 가락동 282,서울,송파구,282,,37.593994,126.801866
20,가마산고가차도-01,서울 구로구 구로동 413-2,서울,구로구,413,2,37.593994,126.801866
21,가마산고가차도-02,서울 구로구 구로동 413-2,서울,구로구,413,2,37.593994,126.801866
22,가마산고가차도-03,서울 구로구 구로동 414-13,서울,구로구,414,13,37.593994,126.801866
23,가마산고가차도-04,서울 구로구 구로동 414-32,서울,구로구,414,32,37.593994,126.801866
24,가마산고가차도-05,서울 구로구 구로동 413-4,서울,구로구,413,4,37.593994,126.801866
25,가마산고가차도-06,서울 구로구 구로동 413-4,서울,구로구,413,4,37.593994,126.801866
26,가마산고가차도-07,서울 구로구 구로동 413-4,서울,구로구,413,4,37.593994,126.801866
27,가마산고가차도-08,서울 구로구 구로동 403-22,서울,구로구,403,22,37.593994,126.801866
28,가마산고가차도-09,서울 구로구 구로동 403-22,서울,구로구,403,22,37.593994,126.801866
29,가마산고가차도-10,서울 구로구 구로동 403-22,서울,구로구,403,22,37.593994,126.801866
